38503,200,249,166,245,117,138,114,46,48,26,37,51,27,51,10,1,3,28,36999,1270,1106,800,667,458,208,128,29,70,98,68,59,16,477,33,38,35,51,d
38365,150,241,139,122,109,59,58,16,38,38,28,11,21,33,6,16,9,16,39476,1218,972,695,435,351,218,109,94,42,18,40,15,24,504,13,12,19,12,u
38214,195,221,41,123,225,46,85,21,58,46,52,68,32,68,20,30,15,12,39021,1901,857,1050,485,402,445,224,289,246,211,218,167,133,540,122,110,132,126,u
38294,65,76,22,115,23,25,44,14,37,24,24,19,18,80,21,12,11,7,39111,861,744,548,474,325,279,163,127,146,132,120,114,99,452,91,92,97,79,u
38540,253,273,347,180,142,100,53,192,96,76,60,29,19,65,35,67,42,38,38244,335,623,441,402,216,130,76,207,230,201,195,130,104,500,92,98,110,80,u
38042,287,462,203,112,156,53,124,69,88,58,38,44,30,63,22,25,43,49,38009,1787,1624,477,802,480,101,121,278,181,148,47,56,74,516,49,36,49,38,d
38380,83,91,48,45,46,12,29,12,12,77,12,23,29,75,11,30,18,2,38252,2573,1183,1106,417,567,321,267,180,120,99,71,37,48,460,26,20,4,19,d
38312,155,142,142,23,88,20,26,20,30,15,34,9,17,72,3,8,5,18,38168,2226,1215,959,516,503,127,191,148,159,87,111,52,35,457,64,36,50,57,u
38373,163,237,117,177,116,87,64,25,33,81,46,18,12,73,17,28,17,23,38256,2799,1422,974,429,111,200,102,62,107,84,34,70,64,452,56,48,14,24,u
38384,126,87,115,71,31,24,90,25,28,45,34,36,9,72,16,21,16,19,38245,1994,1304,394,869,220,492,132,226,63,171,73,81,64,504,31,42,47,49,d
38375,136,133,115,26,33,3,13,16,26,41,9,9,39,73,7,1,18,16,38387,1318,1481,563,354,394,165,59,64,96,24,53,28,17,473,16,8,19,6,d
38264,421,532,227,65,45,50,60,42,32,54,76,24,23,47,9,18,28,12,37995,1656,1350,495,408,228,148,94,97,79,52,11,52,45,494,53,11,55,11,u
40146,1603,1171,626,352,196,139,47,41,54,34,13,29,11,78,30,16,13,16,38617,321,176,250,167,124,127,85,68,70,44,47,27,33,468,17,11,9,31,r
38338,1831,2070,578,33,345,244,132,77,19,35,66,48,13,65,21,7,21,15,38302,190,330,297,274,141,85,50,29,39,39,7,28,22,488,14,3,16,10,l
39167,2055,1609,508,1048,549,438,466,271,234,86,202,161,195,113,143,140,92,115,38248,216,354,281,90,71,141,80,40,73,25,15,35,41,468,12,15,11,17,l
38407,592,357,199,308,136,114,69,70,83,83,32,28,11,55,15,20,20,16,38297,1915,928,1064,766,151,286,314,7,93,85,30,10,5,493,22,4,11,13,u
38344,1386,1744,701,166,136,153,223,96,21,80,46,44,38,66,9,9,36,16,38198,1602,1809,395,178,385,212,61,57,71,17,44,34,22,472,18,14,12,12,r
38544,51,55,27,35,50,72,43,29,13,55,22,27,54,72,12,18,19,5,37334,1101,1159,917,505,174,124,252,231,190,152,56,47,82,487,72,74,64,68,d
39446,1069,1088,921,607,316,178,52,99,177,152,95,107,108,149,124,110,89,88,39303,1031,925,689,409,192,50,89,85,110,72,84,87,69,522,76,69,58,60,r
37240,929,787,379,377,256,222,171,203,96,89,61,82,16,71,16,49,9,15,38430,484,347,319,291,204,196,98,114,91,38,35,25,53,459,16,7,15,9,l
38429,1378,1583,1133,447,113,174,211,60,57,34,60,73,32,36,18,33,24,19,38390,961,1420,699,261,114,229,202,113,55,52,54,80,35,487,21,25,20,24,r
39621,1273,1061,777,692,531,361,263,158,126,150,172,142,142,104,112,129,99,101,38074,375,230,241,213,213,141,140,96,74,58,58,27,59,495,42,60,32,27,r
39043,2047,2351,327,742,727,404,334,264,151,201,143,169,158,105,153,114,148,90,38314,702,1023,652,460,340,85,84,39,21,70,34,40,63,539,29,16,11,32,l
