38554,2621,1964,475,843,419,109,140,159,53,23,113,35,47,28,34,33,25,35,38564,1371,926,607,498,145,64,105,21,115,12,61,55,31,445,35,39,8,44,l
36836,1494,1056,458,249,142,84,38,14,60,38,32,18,40,72,26,26,21,18,36927,1286,914,561,320,177,169,118,22,26,61,40,24,9,477,17,9,6,10,l
40096,1269,1041,563,540,243,228,197,32,74,45,37,43,65,93,66,53,23,42,39952,1276,1245,630,559,221,234,175,37,82,92,52,93,49,507,59,39,34,50,l
38479,285,299,329,257,157,65,58,40,47,19,13,22,21,74,25,18,28,25,38426,477,782,686,461,379,206,171,98,72,75,50,57,35,487,36,26,28,33,u
38092,361,375,350,310,331,253,219,179,188,158,152,123,113,94,79,111,89,69,37710,525,242,402,403,342,302,247,236,220,237,157,121,103,387,109,98,107,91,d
38449,1284,1335,428,176,290,290,156,65,52,92,20,37,9,87,43,5,18,46,38402,1759,1915,448,482,542,366,212,80,51,44,54,12,18,501,65,23,4,30,u
39498,910,580,563,482,335,254,259,262,205,163,171,172,167,100,123,144,126,66,39765,1218,827,931,471,429,426,365,219,208,279,179,138,155,347,116,141,110,120,d
37945,542,461,241,206,37,73,31,3,44,16,43,40,14,58,14,19,23,26,36423,1452,1321,876,393,416,235,85,136,29,42,25,52,57,480,34,31,50,38,d
38503,206,151,82,122,139,38,40,47,23,46,23,20,13,68,35,25,18,33,37875,910,764,495,529,303,198,247,238,124,43,67,137,95,486,170,209,150,102,d
38595,1708,790,760,394,344,209,61,41,82,107,107,110,37,92,55,47,59,52,37990,2059,1131,627,640,393,300,133,155,88,134,117,85,90,405,66,61,96,74,l
37501,943,840,712,567,426,361,232,154,164,155,160,148,119,131,87,87,94,88,37111,1203,1000,753,687,554,416,325,201,173,153,176,153,143,392,125,114,98,81,d
38415,565,282,308,275,222,25,95,55,37,40,21,25,28,58,25,10,33,27,38323,2966,1404,1398,960,330,231,188,91,32,7,67,13,23,499,17,4,21,23,u
37845,759,464,443,158,213,125,59,90,34,50,45,46,33,55,32,17,15,20,39068,1279,871,890,475,404,375,77,144,46,58,36,40,28,497,9,2,5,37,d
